PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
kilometre;km;1000 fold of the SI base unit metre;;;km;kilometre;km;kilometre;KTM;kilometer;;0173-1#05-AAA595#003;distance
cubic centimetre per minute bar;(cm³/min)/bar;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the unit minute and the unit bar;;;cm³/(min.bar);cubic centimetre per minute bar;cm³ min⁻¹ bar⁻¹;cubic centimetre per minute bar;G80;;;0173-1#05-AAA596#003;pressure-based volume flow
metre per second squared;m/s²;SI base unit metre divided by the power of the SI base unit second and the the exponent 2;;;m/s²;metre per second squared;m s⁻²;metre per second squared;MSK;meter per second squared;;0173-1#05-AAA597#003;acceleration
reciprocal cubic centimetre;1/cm³;reciprocal of the 0,000 001 fold of the power of the SI base unit metre with the exponent 3;;;cm⁻³;reciprocal cubic centimetre;cm⁻³;reciprocal cubic centimetre;H50;;;0173-1#05-AAA598#004;volumetric entity density
hectare;ha;unit of the area, which is mainly spreaded in the agriculture and forestry with the relation: 1 ha = 100 a = 0,01 km² = 10 000 m²;;;ha;hectare;ha;hectare;HAR;;;0173-1#05-AAA599#003;surface
pebibyte;Pibyte;1 125 899 906 842 624 fold of the unit byte;;To avoid confusion with the symbol B for bel, the symbol byte is used - according to IEC 61360-1:2004 and ISO 13584-42:1998, but contrary to IEC 60027-2:2005.;kein Eintrag;pebibyte;Pibyte;pebibyte;E60;;;0173-1#05-AAA600#002;byte data volume
lumen;lm;SI derived unit with special name for luminous flux;SI brochure, ISO 31-6, DIN 1301-1;1 lm = 1 cd·sr;lm;lumen;lm;lumen;LUM;lumen;;0173-1#05-AAA601#003;luminous flux
poise per bar;P/bar;illegal cgs unit poise divided by the unit bar;;;;;;poise per bar;F06;;;0173-1#05-AAA602#003;pressure-based dynamic viscosity
milligram per kilogram;mg/kg;0,000 001 fold of the SI base unit kilogram divided by the SI base unit kilogram;;;mg/kg;milligram per kilogram;mg kg⁻¹;milligram per kilogram;NA;;;0173-1#05-AAA603#003;mass fraction
microwatt;µW;0,000 001 fold of the SI derived unit watt;;;µW;microwatt;µW;microwatt;D80;;;0173-1#05-AAA604#003;active power
kibibit per square metre;Kibit/m²;1024 fold of the unit bit divided by the power of the SI base unit metre with the exponent 2;;;Kibit/m²;kibibit per square metre;Kibit m⁻²;kibibit per square metre;E73;;;0173-1#05-AAA605#003;areic data volume
microhenry per kiloohm;µH/kΩ;0,000 001 fold of the SI derived unit henry divided by the 1000 fold of the SI derived unit ohm;;;µH/kΩ;microhenry per kiloohm;µH kΩ⁻¹;microhenry per kiloohm;G98;;;0173-1#05-AAA606#003;resistance-based inductance
pebibit per metre;Pibit/m;1 125 899 906 842 624 fold of the unit bit divided by the SI base unit metre;;;Pibit/m;pebibit per metre;Pibit m⁻¹;pebibit per metre;E80;;;0173-1#05-AAA607#003;lineic data volume
megaampere;MA;1 000 000 fold of the SI base unit ampere;;;MA;megaampere;MA;megaampere;H38;;;0173-1#05-AAA608#004;electric current
gigajoule;GJ;1 000 000 000 fold of the SI derived unit joule;;;GJ;gigajoule;GJ;gigajoule;GV;;;0173-1#05-AAA609#003;kinetic or thermal energy
exbibit per metre;Eibit/m;1 152 921 504 606 846 976 fold of the unit bit divided by the SI base unit metre;;;Eibit/m;exbibit per metre;Eibit m⁻¹;exbibit per metre;E65;;;0173-1#05-AAA610#003;lineic data volume
kilogram per litre kelvin;(kg/l)/K;SI base unit kilogram divided by the product out of the unit litre and the SI base unit kelvin;;;kg/(l.K);kilogram per litre kelvin;kg l⁻¹ K⁻¹;kilogram per litre kelvin;G39;;;0173-1#05-AAA611#003;temperature-based density
megaampere per square metre;MA/m²;1 000 000 fold of the SI base unit ampere divided by the power of the SI base unit metre with the exponent 2;;;MA/m²;megaampere per square metre;MA m⁻²;megaampere per square metre;B66;;;0173-1#05-AAA612#003;electric current density
pound inch squared;lb·in²;product of the unit pound according to the avoirdupois system of units and the power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 2 with the relation according to NIST: 1  lb·in² = 2,926 397·10⁻⁴ kg·m²;NIST Special Publication 811:1995;;;;;pound inch squared;F20;pound inch squared;;0173-1#05-AAA613#003;moment of inertia
milliohm per metre;mΩ/m;0,001 fold of the SI derived unit ohm divided by the SI base unit metre;;;mΩ/m;milliohm per metre;mΩ m⁻¹;milliohm per metre;F54;;;0173-1#05-AAA614#003;lineic resistance
square inch;in²;power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 2;NIST Special Publication 811:1995;;;;;square inch;INK;square inch;;0173-1#05-AAA615#003;surface
bit per second;bit/s;unit bit divided by the SI base unit second;;;bit/s;bit per second;bit s⁻¹;bit per second;B10;;;0173-1#05-AAA616#003;bit transmission rate
neper per second;Np/s;unit neper divided by the SI base unit second;ISO 80000-3:2006;;Np/s;neper per second;Np s⁻¹;neper per second;C51;;;0173-1#05-AAA617#003;time-related logarithmic ratio
microradian;µrad;0,000 001 fold of the SI derived unit radian;;;µrad;microradian;µrad;microradian;B97;;;0173-1#05-AAA618#003;plane angle
kiloampere per metre;kA/m;1000 fold of the SI base unit ampere divided by the SI base unit metre;;;kA/m;kiloampere per metre;kA m⁻¹;kiloampere per metre;B24;;;0173-1#05-AAA619#003;lineic electric current or magnetic field strength or magnetization
metre pascal second^-1;m·Pa/s;product of the SI base unit metre and the derived SI unit pascal divided by the SI base unit second;;;m·Pa/s;metre pascal per second;m Pa s⁻¹;;;;;0173-1#05-AAA620#003;
nanosiemens per metre;nS/m;0,000 000 001 fold of the SI derived unit Siemens divided by the SI base unit metre;;;nS/m;nanosiemens per metre;nS m⁻¹;nanosiemens per metre;G45;;;0173-1#05-AAA621#003;conductivity
millilitre per minute;ml/min;0,001 fold of the unit litre divided by the unit minute;;;ml/min;millilitre per minute;ml min⁻¹;millilitre per minute;41;;;0173-1#05-AAA622#003;volume flow rate or volume velocity
megabit per second;Mbit/s;1 000 000 fold of the unit bit divided by the SI base unit second;;;Mbit/s;megabit per second;Mbit s⁻¹;megabit per second;E20;;;0173-1#05-AAA623#003;bit transmission rate
centilitre;cl;0,01 fold of the unit litre;;;cl;centilitre;cl;centilitre;CLT;;;0173-1#05-AAA624#002;volume or section modulus
microcoulomb;µC;0,000 001 fold of the SI derived unit coulomb;;;µC;microcoulomb;µC;microcoulomb;B86;;;0173-1#05-AAA625#003;electric charge
quart (US);qt (US liq.);unit of the volume according the Anglo-American system of units with the relation: 1 liqui quart (US) = 0, 946 352 9 litres;NIST Special Publication 811:1995;1 liquid quart (US) = 2 liquid pint (US) = 4 US cup (US) = 8 gill (US) = 32 fluid ounce (US)= 57,75 cubic inch = 0,946352946 litres;;;;quart (US);QT;quart (U.S. liquid);;0173-1#05-AAA627#003;volume or section modulus
cubic metre per day;m³/d;power of the SI base unit metre with the exponent 3 divided by the unit day;;;m³/d;cubic metre per day;m³ d⁻¹;cubic metre per day;G52;;;0173-1#05-AAA628#003;volume flow rate or volume velocity
teaspoon;teaspoon (US);illegal unit, which is used for quantities in the (north american) kitchen and for which the following relation according to NIST applies:1 teaspoon  = 0,004 928 922 litres;NIST Special Publication 811:1995;A teaspoon accords a German ''Teelöffel''.;;;;teaspoon;G25;teaspoon;;0173-1#05-AAA629#003;volume or section modulus
sone;sone;psychoacoustical unit for the subjective loudness of a tone, whereby the loudness 1 sone is allocated to the loudness level 40 phon;;;sone;sone;sone;sone;D15;sone;;0173-1#05-AAA630#003;loudness
litre per minute kelvin;(l/min)/K;unit litre divided by the product out of the unit minute and the SI base unit kelvin;;;l/(min.K);litre per minute kelvin;l min⁻¹ K⁻¹;litre per minute kelvin;G67;;;0173-1#05-AAA631#003;temperature-based volume flow rate
megawatt;MW;1 000 000 fold of the derived unit watt;;;MW;megawatt;MW;megawatt;MAW;;;0173-1#05-AAA632#003;active power
megavolt;MV;1 000 000 fold of the derived unit volt;;;MV;megavolt;MV;megavolt;B78;;;0173-1#05-AAA633#002;voltage
millimetre per hour;mm/h;0,001 fold of the SI base unit metre divided by the unit hour;;;mm/h;millimetre per hour;mm h⁻¹;millimetre per hour;H67;;;0173-1#05-AAA635#004;velocity
megavolt per metre;MV/m;1 000 000 fold of the SI derived unit volt divided by the SI base unit metre;;;MV/m;megavolt per metre;MV m⁻¹;megavolt per metre;B79;;;0173-1#05-AAA636#003;electric field strength
stokes per kelvin;St/K;illegal cgs unit stokes divided by the SI base unit kelvin;;;;;;stokes per kelvin;G10;;;0173-1#05-AAA637#003;temperature-based kinematic viscosity
gigaohm metre;GΩ·m;1 000 000 000 fold of the product out of the SI derived unit ohm and the SI unit metre;;;GΩ·m;gigaohm metre;GΩ m;gigaohm metre;A88;;;0173-1#05-AAA638#003;resistivity
volt square inch per pound-force;V/psi;differentiated SI-unit volt divided by the composed unit for pressure (pound-force per square inch);;The unit for pressure (pound-force per square inch) is described in literature abbreviated as psi.;;;V/psi;volt square inch per pound-force;H22;;;0173-1#05-AAA639#004;pressure-based electric voltage
bar per kelvin;bar/K;unit with the name bar divided by the SI base unit kelvin;;;bar/K;bar per kelvin;bar K⁻¹;bar per kelvin;F81;;;0173-1#05-AAA640#003;pressure coefficient
liter mol^-1 second^-1;l/(mol·s);0,001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the SI base unit mol and the SI base unit second;;;l/(mol·s);liter per mol second;l mol⁻¹ s⁻¹;;;;;0173-1#05-AAA641#003;
cubic centimetre per second bar;(cm³/s)/bar;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the SI base unit second and the unit bar;;;cm³/(s.bar);cubic centimetre per second bar;cm³ s⁻¹ bar⁻¹;cubic centimetre per second bar;G81;;;0173-1#05-AAA642#003;pressure-based volume flow
mole per cubic metre;mol/m³;SI base unit mol divided by the power of the SI base unit second with the exponent 3;;;mol/m³;mole per cubic metre;mol m⁻³;mole per cubic metre;C36;mole per cubic meter;;0173-1#05-AAA643#003;volumic amount of substance
radian per second;rad/s;derived SI base unit radian divided by the SI base unit second;DIN 1301-2, ISO 1000;;rad/s;radian per second;rad s⁻¹;radian per second;2A;radian per second;;0173-1#05-AAA644#003;angular velocity
gram per cubic decimetre kelvin;(g/dm³)/K;0,001 fold of the SI base unit kilogram divided by the product out of the 0,001 fold of the power of the SI base unit metre with the exponent 3 and the SI base unit kelvin;;;g/(dm³.K);gram per cubic decimetre kelvin;g dm⁻³ K⁻¹;gram per cubic decimetre kelvin;G34;;;0173-1#05-AAA645#003;temperature-based density
millilitre per day kelvin;(ml/d)/K;0,001 fold of the unit litre divided by the product out of the unit day and the SI base unit kelvin;;;ml/(d.K);millilitre per day kelvin;ml d⁻¹ K⁻¹;millilitre per day kelvin;G73;;;0173-1#05-AAA646#003;temperature-based volume flow rate
megawatt hour;MW·h;1 000 000 fold of the product of the SI derived unit watt and the unit hour;;;MW·h;megawatt hour;MW h;megawatt hour;MWH;;;0173-1#05-AAA647#003;energy content
millifarad;mF;0,001 fold of the SI derived unit farad;;;mF;millifarad;mF;millifarad;C10;;;0173-1#05-AAA648#003;capacitance
kilonewton metre;kN·m;1000 fold of the product of the SI derived unit newton and the SI base unit metre;;;kN·m;kilonewton metre;kN m;kilonewton metre;B48;;;0173-1#05-AAA649#003;torque
reciprocal minute;1/min;reciprocal of the unit minute;NIST Special Publication 811:1995;;1/min;reciprocal minute;min⁻¹;reciprocal minute;C94;revolutions per minute;;0173-1#05-AAA650#003;frequency
kilogram per day;kg/d;SI base unit kilogram divided by the unit day;;;kg/d;kilogram per day;kg d⁻¹;kilogram per day;F30;;;0173-1#05-AAA651#003;mass flow rate
joule per kelvin;J/K;SI derived unit joule divided by the SI base unit kelvin;;;J/K;joule per kelvin;J K⁻¹;joule per kelvin;JE;joule per kelvin;;0173-1#05-AAA652#003;thermal capacitance
tebibit per cubic metre;Tibit/m³;1 099 511 627 776 fold of the unit bit divided by the power of the SI base unit metre with the exponent 3;;;Tibit/m³;tebibit per cubic metre;Tibit m⁻³;tebibit per cubic metre;E86;;;0173-1#05-AAA653#003;volumic data quantity
kilobyte;kbyte;1 000 times the unit byte;;;;;kbyte;kilobyte;2P;;;0173-1#05-AAA654#005;byte data volume
mebibit per square metre;Mibit/m²;1 048 576 fold of the unit bit divided by the power of the SI base unit metre with the exponent 2;;;Mibit/m²;mebibit per square metre;Mibit m⁻²;mebibit per square metre;E76;;;0173-1#05-AAA655#003;areic data volume
kilobecquerel per kilogram;kBq/kg;1000 fold of the SI derived unit becquerel divided by the SI base unit kilogram;;;kBq/kg;kilobecquerel per kilogram;kBq kg⁻¹;kilobecquerel per kilogram;B25;;;0173-1#05-AAA658#003;activity related by mass
newton per square centimetre;N/cm²;SI derived unit newton divided by the 0,01 times of the SI base unit metre with the exponent 2;;;;;N cm⁻²;newton per square centimetre;E01;;;0173-1#05-AAA660#005;mechanical tension
kelvin per hour;K/h;SI base unit kelvin divided by the unit hour;;;K/h;kelvin per hour;K h⁻¹;kelvin per hour;F10;;;0173-1#05-AAA661#003;rate of change of temperature
kilobecquerel;kBq;1000 fold of the SI derived unit becquerel;;;kBq;kilobecquerel;kBq;kilobecquerel;2Q;;;0173-1#05-AAA662#003;radioactivity
kilocoulomb;kC;1000 fold of the derived SI unit coulomb;;;kC;kilocoulomb;kC;kilocoulomb;B26;;;0173-1#05-AAA663#002;electric charge
metre per minute;m/min;SI base unit metre divided by the unit minute;;;m/min;metre per minute;m min⁻¹;metre per minute;2X;;;0173-1#05-AAA664#003;velocity
volt per millimetre;V/mm;SI derived unit volt divided by the 0,001 fold of the SI base unit metre;;;V/mm;volt per millimetre;;volt per millimetre;D51;;;0173-1#05-AAA665#003;electric field strength
tebibit per metre;Tibit/m;1 099 511 627 776 fold of the unit bit divided by the SI base unit metre;;;Tibit/m;tebibit per metre;Tibit m⁻¹;tebibit per metre;E85;;;0173-1#05-AAA666#003;lineic data volume
joule per kilogram;J/kg;SI derived unit joule divided by the SI base unit kilogram;;;J/kg;joule per kilogram;J kg⁻¹;joule per kilogram;J2;joule per kilogram;;0173-1#05-AAA667#003;specific (internal) energy E (S,V, N) related by mass
cubic metre per hour;m³/h;power of the SI base unit metre with the exponent 3 divided by the unit hour;;;m³/h;cubic metre per hour;m³ h⁻¹;cubic metre per hour;MQH;;;0173-1#05-AAA668#003;volume flow rate or volume velocity
picowatt per square metre;pW/m²;0,000 000 000 001 fold of the SI derived unit watt divided by the power of the SI base unit metre with the exponent 2;;;pW/m²;picowatt per square metre;pW m⁻²;picowatt per square metre;C76;;;0173-1#05-AAA669#003;areic energy flow
kelvin per bar;K/bar;SI base unit kelvin divided by the unit bar;;;K/bar;kelvin per bar;K bar⁻¹;kelvin per bar;F61;;;0173-1#05-AAA670#003;pressure-based temperature
gigaohm;GΩ;1 000 000 000 fold of the SI derived unit ohm;;;GΩ;gigaohm;GΩ;gigaohm;A87;gigaohm;;0173-1#05-AAA671#003;electrical resistance
nanohenry;nH;0,000 000 001 fold of the SI derived unit henry;;;nH;nanohenry;nH;nanohenry;C43;;;0173-1#05-AAA672#003;inductance or permeance
siemens;S;SI derived unit with special name, for which the following relation applies: 1 S = 1 Ω⁻¹ = 1 A·V⁻¹  = 1 m⁻²·kg⁻¹·s³·A²;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;S;siemens;S;siemens;SIE;siemens;;0173-1#05-AAA674#003;electrical conductance
square inch per second;in²/s;power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 2 divided by the SI base unit second with the relation according to NIST: 1 in²/s = 6,451 6 ·10⁻⁴ m²/s;;;;;;square inch per second;G08;;;0173-1#05-AAA675#003;kinematic viscosity or diffusion constant or thermal diffusivity
cubic centimetre per day;cm³/d;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the unit day;;;cm³/d;cubic centimetre per day;cm³ d⁻¹;cubic centimetre per day;G47;;;0173-1#05-AAA676#003;volume flow rate or volume velocity
degree Celsius per minute;°C/min;unit with the name °Celsius divided by the unit minute;;;°C/min;grad_Celsius per minute;°C min⁻¹;degree Celsius per minute;H13;;;0173-1#05-AAA677#003;rate of change of temperature
millilitre;ml;0,001 fold of the unit litre;;;ml;millilitre;ml;millilitre;MLT;;;0173-1#05-AAA678#003;volume or section modulus
tablespoon;tablespoon (US);illegal unit, which is used for quantities in the (north american) kitchen and for which the following relation according to NIST applies: 1 tablespoon = 1⁄16 cup = 0,014 786 76 litres;NIST Special Publication 811:1995;A tablespoon accords a German ''Esslöffel''.;;;;tablespoon;G24;tablespoon;;0173-1#05-AAA680#003;volume or section modulus
milligram per second bar;(mg/s)/bar;0,000 001 fold of the SI base unit kilogram divided by the product out of the SI base unit second and the unit bar;;;mg/(s.bar);milligram per second bar;mg s⁻¹ bar⁻¹;milligram per second bar;F73;;;0173-1#05-AAA681#003;pressure-based mass flow
pascal per bar;Pa/bar;SI derived unit pascal divided by the unit bar;;;Pa/bar;pascal per bar;Pa bar⁻¹;pascal per bar;F07;;;0173-1#05-AAA682#003;pressure ratio
second [unit of angle];″;3600th part of the unit degree, which is the 360th part of a full circle;;;″;second;″;second [unit of angle];D62;second;;0173-1#05-AAA683#004;plane angle
decibel per metre;dB/m;0,1 fold of the unit bel divided by the SI base unit metre;;;db/m;decibel per metre;db m⁻¹;decibel per metre;H52;;;0173-1#05-AAA684#004;lineic logarithmic ratio
cubic inch;in³;power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 3;NIST Special Publication 811:1995;;;;;cubic inch;INQ;cubic inch;;0173-1#05-AAA685#003;volume or section modulus
octave;octave;unit for the frequency interval, whose upper barrier is given by doubling the lower barrier;;;octave;octave;octave;octave;C59;octave;;0173-1#05-AAA686#002;logarithmic frequency interval
cubic foot per minute;ft³/min;power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit minute with the relation according to NIST: ft³/min = 4,719 474·10⁻⁴ m³/s;NIST Special Publication 811:1995;;;;ft³ min⁻¹;cubic foot per minute;2L;cubic foot per minute;;0173-1#05-AAA687#004;volume flow rate or volume velocity
megagram per cubic metre;Mg/m³;1 000 fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 3;;;Mg/m³;megagram per cubic metre;Mg m⁻³;megagram per cubic metre;B72;;;0173-1#05-AAA689#003;density
decapascal;daPa;1 0-fold of the derived SI unit pascal;;;;;daPa;decapascal;H75;;;0173-1#05-AAA690#005;mechanical tension
hertz metre;Hz·m;product of the SI derived unit hertz and the SI base unit metre;;;Hz·m;hertz metre;Hz m;hertz metre;H34;;;0173-1#05-AAA691#004;bandwidth length product
milligram per minute bar;(mg/min)/bar;0,000 001 fold of the SI base unit kilogram divided by the product out of the unit minute and the unit bar;;;mg/(min.bar);milligram per minute bar;mg min⁻¹ bar⁻¹;milligram per minute bar;F72;;;0173-1#05-AAA692#003;pressure-based mass flow
kilomole per cubic metre;kmol/m³;1000 fold of the SI base unit mol divided by the power of the SI base unit metre with the exponent 3;;;kmol/m³;kilomole per cubic metre;kmol m⁻³;kilomole per cubic metre;B46;;;0173-1#05-AAA693#003;volumic amount of substance
milligram per day kelvin;(mg/d)/K;0,000 001 fold of the SI base unit kilogram divided by the product out of the unit day and the SI base unit kelvin;;;mg/(d.K);milligram per day kelvin;mg d⁻¹ K⁻¹;milligram per day kelvin;F43;;;0173-1#05-AAA694#003;temperature-based mass flow rate
cubic centimetre per hour bar;(cm³/h)/bar;0,000 001 fold of the power of the SI base unit metre with the exponent 3 divided by the product out of the unit hour and the unit bar;;;cm³/(h.bar);cubic centimetre per hour bar;cm³ h⁻¹ bar⁻¹;cubic centimetre per hour bar;G79;;;0173-1#05-AAA695#003;pressure-based volume flow
gram per cubic centimetre bar;(g/cm³)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the 0,000 001 fold of the power of the SI base unit metre with the exponent 3 and the unit bar;;;g/(cm³.bar);gram per cubic centimetre bar;g cm⁻³ bar⁻¹;gram per cubic centimetre bar;G11;;;0173-1#05-AAA697#003;pressure-based density
stokes;St;illegal cgs unit with the kinematic viscosity (labelled after the English mathematician and physician George Gabriel Stokes) with the relation: 1 St = 10⁻⁴ m²/s;NIST Special Publication 811:1995;In the legal business the SI unit m³/s is prescribed since 1978.;;;;stokes;91;stokes;;0173-1#05-AAA698#003;kinematic viscosity or diffusion constant or thermal diffusivity
newton per ampere;N/A;SI derived unit newton divided by the SI base unit ampere;;;N/A;newton per ampere;N A⁻¹;newton per ampere;H40;;;0173-1#05-AAA699#004;power constant
gram per cubic centimetre kelvin;(g/cm³)/K;0,001 fold of the SI base unit kilogram divided by the product out of the 0,000 001 fold of the power of the SI base unit metre with the exponent 3 and the SI base unit kelvin;;;g/(cm³.K);gram per cubic centimetre kelvin;g cm⁻³ K⁻¹;gram per cubic centimetre kelvin;G33;;;0173-1#05-AAA700#003;temperature-based density
decimetre;dm;0,1 fold of the SI base unit metre;;;dm;decimetre;dm;decimetre;DMT;;;0173-1#05-AAA701#003;distance
milliohm metre;mΩ·m;0,001 fold of the product of the SI derived unit ohm and the SI base unit metre;;;mΩ·m;milliohm metre;mΩ m;milliohm metre;C23;;;0173-1#05-AAA702#003;resistivity
megajoule per cubic metre;MJ/m³;1 000 000 fold of the SI derived unit joule divided by the power of the SI base unit metre with the exponent 3;;;MJ/m³;megajoule per cubic metre;MJ m⁻³;megajoule per cubic metre;JM;;;0173-1#05-AAA703#003;energy density
kilojoule per kilogram;kJ/kg;1000 fold of the SI derived unit joule divided by the SI base unit kilogram;;;kJ/kg;kilojoule per kilogram;kJ kg⁻¹;kilojoule per kilogram;B42;;;0173-1#05-AAA704#003;specific (internal) energy E (S,V, N) related by mass
radian per metre;rad/m;SI derived base unit radian divided by the SI base unit metre;;;rad/m;radian per metre;rad m⁻¹;radian per metre;C84;;;0173-1#05-AAA705#003;angular wave number
gram per hertz;g/Hz;0,001 fold of the SI base unit kilogram divided by the SI derived unit hertz;;;g/Hz;gram per hertz;g Hz⁻¹;gram per hertz;F25;;;0173-1#05-AAA706#003;
degree per metre;°/m;unit degree divided by the SI base unit metre;;;°/m;degree per metre;° m⁻¹;degree per metre;H27;;;0173-1#05-AAA707#004;angular wave number
newton per millimetre;N/mm;SI derived unit newton divided by the 0,001 fold of the SI base unit metre;;;N/mm;newton per millimetre;N mm⁻¹;newton per millimetre;F47;;;0173-1#05-AAA708#003;surface tension
coulomb per cubic metre;C/m³;SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 3;;;C/m³;coulomb per cubic metre;C m⁻³;coulomb per cubic metre;A29;coulomb per cubic meter;;0173-1#05-AAA710#003;volume density of charge
reciprocal second per metre squared;s⁻¹/m²;reciprocal of the SI base unit second divided by the power of the SI base unit metre with the exponent 2;DIN 1301-2, ISO 1000;;s⁻¹/m²;reciprocal second reciprocal square metre;s⁻¹ m⁻²;reciprocal second per metre squared;C99;;;0173-1#05-AAA712#003;particle current density
sievert;Sv;SI derived unit with special name, for which the following relation applies: 1 Sv  = 1 J·kg⁻¹  = 1 m²·s;;;Sv;sievert;Sv;sievert;D13;sievert;;0173-1#05-AAA713#003;dose equivalent
petabit per second;Pbit/s;1 000 000 000 000 000 fold of the unit bit divided by the SI base unit second;;;Pbit/s;petabit per second;Pbit s⁻¹;petabit per second;E79;;;0173-1#05-AAA714#003;bit transmission rate
decibel;dB;0,1 fold of the unit bel;SI brochure, ISO 80000-3:2006, IEC 60027-3:2002;The bel indicates the decadic logarithm of the relation of two power or field quantities. 1 dB = ¹/₁₀ ln √10 Np ≈ 0,115 129 3 Np;dB;decibel;dB;decibel;2N;decibel;;0173-1#05-AAA715#003;logarithm ratio to base 10
millilitre per hour kelvin;(ml/h)/K;0,001 fold of the unit litre divided by the product out of the unit hour and the SI base unit kelvin;;;ml/(h.K);millilitre per hour kelvin;ml h⁻¹ K⁻¹;millilitre per hour kelvin;G74;;;0173-1#05-AAA716#003;temperature-based volume flow rate
centimetre per second;cm/s;0,01 fold of the SI base unit metre divided by the SI base unit second;;;cm/s;centimetre per second;cm s⁻¹;centimetre per second;2M;;;0173-1#05-AAA717#003;velocity
chain;ch (UK);unit of the length according the Anglo-American system of units with the relation according to NIST: 1 chain = 20,116 8 metre;NIST Special Publication 811:1995;1 chain = 4 rod = 66 foot = 20,1168 metres, 1 statute mile = 8 furlong = 80 chain = 320 rod = 8000 link;;;;chain;X1;chain (based on U.S. survey foot);;0173-1#05-AAA718#003;distance
milligram per metre;mg/m;0,000 001 fold of the SI base unit kilogram divided by the SI base unit metre;;;mg/m;milligram per metre;mg m⁻¹;milligram per metre;C12;;;0173-1#05-AAA719#003;lineic mass
kilovolt;kV;1000 fold of the SI derived unit volt;;;kV;kilovolt;kV;kilovolt;KVT;;;0173-1#05-AAA720#003;voltage
degree celsius per kelvin;°C/K;unit with the name °Celsius divided by the SI base unit kelvin;;;°C/K;grad_Celsius per kelvin;°C K⁻¹;degree celsius per kelvin;E98;;;0173-1#05-AAA721#003;temperature ratio
ampere kilogram^-1;A/kg;SI base unit ampere divided by the SI base unit kilogram;;;A/kg;ampere per kilogram;A kg⁻¹;;;ampere per kilogram;;0173-1#05-AAA722#003;mass-related electrical current
milliampere;mA;0,001 fold of the SI base unit ampere;;;mA;milliampere;mA;milliampere;4K;;;0173-1#05-AAA723#003;electric current
litre per hour bar;(l/h)/bar;unit litre divided by the product out of the unit hour and the unit bar;;;l/(h.bar);litre per hour bar;l h⁻¹ bar⁻¹;litre per hour bar;G83;;;0173-1#05-AAA724#003;pressure-based volume flow
gibibit per cubic metre;Gibit/m³;1 073 741 824 fold of the unit bit divided by the power of the SI base unit metre with the exponent 3;;;Gibit/m³;gibibit per cubic metre;Gibit m⁻³;gibibit per cubic metre;E71;;;0173-1#05-AAA725#003;volumic data quantity
milligram per minute kelvin;(mg/min)/K;0,000 001 fold of the SI base unit kilogram divided by the product out of the unit minute and the SI base unit kelvin;;;mg/(min.K);milligram per minute kelvin;mg min⁻¹ K⁻¹;milligram per minute kelvin;F45;;;0173-1#05-AAA726#003;temperature-based mass flow rate
reciprocal year;1/y;reciprocal of the unit year;;;;;y⁻¹;reciprocal year;H09;;;0173-1#05-AAA727#004;frequency
gram;g;0,001 fold of the SI base unit kilogram;;;g;gram;g;gram;GRM;gram;;0173-1#05-AAA728#003;mass
year;y;31 557 600 fold of the SI base unit second according to one year with 365,25 days as physical quantity in the metrology;;;;;a (326,25);year;ANN;;;0173-1#05-AAA729#003;time
volt per bar;V/bar;SI derived unit volt divided by the unit bar;;;V/bar;volt per bar;;volt per bar;G60;;;0173-1#05-AAA730#003;pressure-based electric voltage
kilogram;kg;unit of mass, which is equal to the mass of international prototype of the kilogram;;;kg;kilogram;kg;kilogram;KGM;kilogram;;0173-1#05-AAA731#003;mass
metre per bar;m/bar;SI base unit metre divided by the unit bar;;;m/bar;metre per bar;m bar⁻¹;metre per bar;G05;;;0173-1#05-AAA732#003;pressure-based length
square metre per kilogram;m²/kg;power of the SI base unit metre with the exponent 2 divided by the SI base unit with the SI base unit kilogram;;;m²/kg;square metre per kilogram;m² kg⁻¹;square metre per kilogram;D21;;;0173-1#05-AAA733#003;mass attenuation coefficient
megavolt - ampere;MV·A;1 000 000 fold of the product of the SI derived unit volt and the SI base unit ampere;;;MV·A;megavolt ampere;MV A;megavolt - ampere;MVA;;;0173-1#05-AAA734#003;apparent power
gigacoulomb per cubic metre;GC/m³;1 000 000 000 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 3;;;GC/m³;gigacoulomb per cubic metre;GC m⁻³;gigacoulomb per cubic metre;A84;;;0173-1#05-AAA735#003;volume density of charge
volt - ampere;V·A;product of the SI derived unit volt and the SI base unit ampere;;;V·A;volt ampere;;volt - ampere;D46;;;0173-1#05-AAA736#003;apparent power
